index,type,severity,description,value,action
31,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 6.45),6.450571572279543,REJECT - Sustained upward shift
32,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 7.54),7.537074347541608,REJECT - Sustained upward shift
33,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 8.08),8.07936341858571,REJECT - Sustained upward shift
34,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 10.50),10.501908330688899,REJECT - Sustained upward shift
35,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 10.88),10.881064680717879,REJECT - Sustained upward shift
36,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 12.69),12.689928275722634,REJECT - Sustained upward shift
37,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 12.33),12.33025815184286,REJECT - Sustained upward shift
38,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 12.60),12.60207210294443,REJECT - Sustained upward shift
39,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 14.40),14.398933338813553,REJECT - Sustained upward shift
40,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 15.14),15.137399918808963,REJECT - Sustained upward shift
41,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 15.31),15.308768199998934,REJECT - Sustained upward shift
42,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 15.19),15.19311991761069,REJECT - Sustained upward shift
43,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 14.89),14.8920162220214,REJECT - Sustained upward shift
44,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 13.41),13.413494231653974,REJECT - Sustained upward shift
45,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 12.69),12.693650023259266,REJECT - Sustained upward shift
46,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 12.23),12.233011252299477,REJECT - Sustained upward shift
47,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 13.29),13.290133478518392,REJECT - Sustained upward shift
48,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 13.63),13.633751768086853,REJECT - Sustained upward shift
49,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 11.87),11.870711612724119,REJECT - Sustained upward shift
50,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 12.19),12.194795582118914,REJECT - Sustained upward shift
51,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 11.81),11.809713301702597,REJECT - Sustained upward shift
52,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 11.13),11.132791301396638,REJECT - Sustained upward shift
53,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 11.74),11.744467590237505,REJECT - Sustained upward shift
54,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 12.78),12.775467112733454,REJECT - Sustained upward shift
55,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 13.71),13.70674723184965,REJECT - Sustained upward shift
56,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 15.87),15.867529708627014,REJECT - Sustained upward shift
57,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 15.56),15.558317332775797,REJECT - Sustained upward shift
58,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 15.89),15.889580764179357,REJECT - Sustained upward shift
59,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 16.87),16.865125891301716,REJECT - Sustained upward shift
60,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 16.39),16.385951653456427,REJECT - Sustained upward shift
61,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 16.20),16.20029267679261,REJECT - Sustained upward shift
62,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 15.09),15.093957702786582,REJECT - Sustained upward shift
63,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 13.90),13.897751078705912,REJECT - Sustained upward shift
64,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 14.71),14.710276901100109,REJECT - Sustained upward shift
65,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 16.07),16.06651692967093,REJECT - Sustained upward shift
66,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 15.49),15.494506808090595,REJECT - Sustained upward shift
67,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 16.00),15.99803970598262,REJECT - Sustained upward shift
68,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 15.86),15.859675731030258,REJECT - Sustained upward shift
69,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 14.71),14.714555976425135,REJECT - Sustained upward shift
70,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 14.58),14.575951581933548,REJECT - Sustained upward shift
71,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 15.61),15.613988148399518,REJECT - Sustained upward shift
72,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 15.08),15.078162109289565,REJECT - Sustained upward shift
73,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 16.14),16.142805765103567,REJECT - Sustained upward shift
74,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 13.02),13.023060661013824,REJECT - Sustained upward shift
75,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 13.34),13.34496316538905,REJECT - Sustained upward shift
76,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 12.93),12.93201023362722,REJECT - Sustained upward shift
77,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 12.13),12.133002883161353,REJECT - Sustained upward shift
78,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 11.72),11.724763659696857,REJECT - Sustained upward shift
79,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 9.24),9.237194745095964,REJECT - Sustained upward shift
80,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 8.52),8.517522857258452,REJECT - Sustained upward shift
81,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 8.37),8.374635428770198,REJECT - Sustained upward shift
82,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 9.35),9.352529473511712,REJECT - Sustained upward shift
83,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 8.33),8.334259255238067,REJECT - Sustained upward shift
84,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 7.03),7.025765652344878,REJECT - Sustained upward shift
85,CUSUM_HIGH,CRITICAL,Upward shift detected (CUSUM+ = 6.02),6.024008608760342,REJECT - Sustained upward shift
